,IDENTIFIER,DAYS_ENGAGED,APPS_USED
200032,264788,5,13.0
200035,322111,1,6.0
200037,324050,4,5.0
200043,125271,8,13.0
200045,217585,7,7.0
200048,313727,2,3.0
200050,102509,7,10.0
200053,200186,2,32.0
200056,138652,1,4.0
200059,322000,2,7.0
200062,301413,1,3.0
200064,169888,4,
200079,192645,1,2.0
200083,320937,5,12.0
200084,188409,2,6.0
200085,288622,4,2.0
200089,179178,2,8.0
200098,262327,1,5.0
200099,274837,1,1.0
200100,178041,6,11.0
200104,175668,2,1.0
200108,160990,3,3.0
200110,200586,2,
200117,162511,4,5.0
200119,146863,1,2.0
200125,157506,2,1.0
200127,191079,2,1.0
200134,324332,1,1.0
200135,257242,1,
200142,174952,2,3.0
200150,309522,1,1.0
200154,323570,1,2.0
200156,124503,10,17.0
200157,249016,6,7.0
200158,259838,3,
200162,177434,2,6.0
200163,282864,3,3.0
200167,128728,4,10.0
200168,258885,6,14.0
200173,242527,5,2.0
200177,205164,1,2.0
200183,259070,2,4.0
200191,194883,2,1.0
200194,115406,1,4.0
200195,315432,2,1.0
200203,132641,6,10.0
200206,265404,3,
200209,154721,1,
200210,312037,3,1.0
200211,302238,3,3.0
200213,284152,1,5.0
200279,170885,1,
200285,149207,5,2.0
200289,251982,4,
200290,121723,2,1.0
200292,171889,3,4.0
200293,299441,1,1.0
200297,273006,3,9.0
200299,202189,1,
200302,226305,1,2.0
200305,303495,2,5.0
200306,231464,6,9.0
200307,121260,3,4.0
200308,100018,3,2.0
200309,105821,7,13.0
200314,314154,3,6.0
200321,250404,1,
200332,119052,11,30.0
200335,267749,1,1.0
200336,115391,4,9.0
200340,251491,3,3.0
200341,189763,1,
200344,239307,3,5.0
200345,278440,5,3.0
200347,111394,6,9.0
200349,234226,1,
200360,323575,8,15.0
200363,168182,8,6.0
200364,283807,1,
200367,213531,1,
200371,304307,4,7.0
200372,106681,4,3.0
200376,167544,1,2.0
200379,125480,6,10.0
200381,220244,8,12.0
200382,205826,6,8.0
200384,196452,1,1.0
200385,119465,7,11.0
200397,190628,6,6.0
200400,186242,2,3.0
200403,229922,2,
200405,315617,4,6.0
200409,138035,2,
200410,169167,4,6.0
200413,132422,2,5.0
200421,245487,6,14.0
200423,248181,1,1.0
200426,143097,5,6.0
200427,319034,2,2.0
200428,225331,2,2.0
200431,294153,1,2.0
200432,173540,2,1.0
200434,209772,2,3.0
200441,255795,2,
200442,147796,1,
200449,273617,4,12.0
200454,289743,1,
200461,105220,5,11.0
200464,182413,2,2.0
200465,162240,2,1.0
200466,221125,4,
200468,233639,2,1.0
200471,288746,2,3.0
200474,163548,1,
200475,248423,2,1.0
200479,101658,3,3.0
200481,110098,7,14.0
200482,133058,3,2.0
200483,185816,2,3.0
200484,225567,4,6.0
200489,226426,4,4.0
200491,101764,10,16.0
200493,209642,1,
200496,223205,1,4.0
200499,304901,2,3.0
200504,178474,1,
200508,211441,1,5.0
200509,234348,2,
200511,137193,2,5.0
200514,133310,2,2.0
200515,268992,2,1.0
200520,223928,4,5.0
200521,125228,2,2.0
200523,131207,4,7.0
200567,318982,4,3.0
200570,290199,2,1.0
200572,153113,2,9.0
200574,201724,4,4.0
200577,179932,3,1.0
200578,308321,3,4.0
200582,261653,4,2.0
200585,186544,2,9.0
200587,265790,2,3.0
200588,155171,1,1.0
200590,157170,2,4.0
200591,189275,1,25.0
200594,304662,2,3.0
200595,296000,2,3.0
200596,111711,1,1.0
200603,187433,3,4.0
200609,319222,2,1.0
200614,289885,6,7.0
200619,237141,3,4.0
200621,185508,5,22.0
200624,135423,1,3.0
200626,310392,1,
200635,287267,2,
200637,255517,5,23.0
200643,147697,5,9.0
200649,189417,1,2.0
200650,315193,4,1.0
200669,165128,6,7.0
200674,149135,3,1.0
200675,237512,2,5.0
200676,120483,3,2.0
200678,242737,6,9.0
200680,201614,4,3.0
200682,110512,6,9.0
200685,279188,4,12.0
200688,195545,2,
200693,281084,2,1.0
200695,227001,3,2.0
200696,311751,4,1.0
200697,286350,5,6.0
200698,188341,3,
200699,246676,2,
200700,150019,6,13.0
200701,212702,3,3.0
200711,107200,3,4.0
200712,271473,3,4.0
200718,311471,5,7.0
200721,159930,1,2.0
200722,105893,3,2.0
200726,190807,2,1.0
200729,144383,1,
200732,267069,3,4.0
200735,203119,1,
200738,303244,1,
200739,288408,3,
200742,322909,1,1.0
200743,186656,1,
200745,293598,2,4.0
200747,279425,2,1.0
200751,209519,2,2.0
200754,125295,1,1.0
200755,118861,3,2.0
200760,234317,1,1.0
200761,104998,6,6.0
200762,150998,1,
200764,240534,2,
200775,237715,13,7.0
200778,323064,1,
200779,287649,1,1.0
200783,311934,1,
200785,133317,3,3.0
200786,301519,2,
200787,208323,4,4.0
200792,215829,4,6.0
200804,158932,7,6.0
200806,111433,1,1.0
200812,232974,2,3.0
200815,201470,3,4.0
200861,248092,5,11.0
200866,140540,5,6.0
200872,209702,3,8.0
200883,261908,1,2.0
200890,235949,5,9.0
200897,117719,1,2.0
200899,248739,3,5.0
200902,139420,2,3.0
200905,283232,2,1.0
200907,214557,1,
200908,132843,2,6.0
200913,180801,6,3.0
200915,278438,2,2.0
200922,153186,1,
200926,168106,2,2.0
200929,121810,2,2.0
200930,166118,4,8.0
200936,168852,1,2.0
200937,234397,5,7.0
200938,197437,1,
200943,221461,3,4.0
200944,115956,3,2.0
200950,245212,2,2.0
200951,230084,4,5.0
200961,182202,2,7.0
200967,162093,2,3.0
200974,259458,2,5.0
200975,314951,1,6.0
200977,266978,4,4.0
200980,247640,6,7.0
200983,150933,1,2.0
200989,231885,5,12.0
201002,115082,10,7.0
201005,146215,3,5.0
201009,275117,2,1.0
201020,107032,5,
201023,179771,6,4.0
201025,143606,1,2.0
201026,314946,1,3.0
201027,184700,2,1.0
201028,268590,4,5.0
201030,156637,1,
201032,222582,2,6.0
201033,179336,4,1.0
201034,148107,2,1.0
201035,177634,1,6.0
201039,199340,1,2.0
201043,160674,3,1.0
201046,262048,4,2.0
201048,145756,9,5.0
201055,188196,5,14.0
201056,325655,3,4.0
201060,267408,3,
201062,214923,3,9.0
201065,233425,2,1.0
201067,201711,2,2.0
201077,296887,2,
201082,240355,2,6.0
201086,129897,2,10.0
201087,288589,2,
201088,144677,1,3.0
201091,272085,2,1.0
201131,130663,4,6.0
201133,279781,1,2.0
201138,309818,4,1.0
201140,277555,4,5.0
201144,274969,3,1.0
201147,286251,5,4.0
201149,138649,6,9.0
201151,269646,5,4.0
201154,253232,1,1.0
201155,124190,2,4.0
201159,118770,2,7.0
201163,229411,1,2.0
201164,272240,4,9.0
201169,111716,4,4.0
201170,286564,3,
201172,275518,10,86.0
201178,228011,3,2.0
201185,313947,1,
201187,283653,1,4.0
201195,134034,2,2.0
201196,110727,3,3.0
201199,117910,4,7.0
201203,319468,4,4.0
201206,268950,6,22.0
201208,253888,2,
201215,115648,3,2.0
201219,186289,1,1.0
201224,282725,1,
201225,232791,2,
201229,222280,1,
201237,162103,1,1.0
201242,147073,2,1.0
201246,106107,3,4.0
201247,201974,1,
201248,186498,5,8.0
201250,142627,1,
201253,257161,1,2.0
201257,316121,2,1.0
201264,247002,3,5.0
201266,117052,2,2.0
201268,112804,1,6.0
201270,182654,4,4.0
201271,188961,1,2.0
201276,155188,9,20.0
201279,311862,4,4.0
201280,267331,1,5.0
201282,292942,5,13.0
201291,130561,1,
201295,118223,1,1.0
201298,122181,1,9.0
201300,295783,3,
201302,321107,3,4.0
201304,207013,1,
201305,304815,2,2.0
201312,136895,2,3.0
201313,299919,1,1.0
201314,251187,4,5.0
201315,120226,3,2.0
201319,161221,8,7.0
201320,177758,3,3.0
201323,308820,2,
201331,104722,1,
201333,242608,6,14.0
201340,270858,3,9.0
201341,275853,2,6.0
201342,272975,1,
201343,114639,2,
201345,194823,1,
201347,277844,4,4.0
201348,138272,1,3.0
201349,173724,2,
201350,239356,2,4.0
201353,299769,2,7.0
201359,130784,5,11.0
201361,306355,2,2.0
201362,231466,4,4.0
201401,156936,2,4.0
201402,300699,1,1.0
201406,223844,1,2.0
201415,190710,3,
201420,231966,1,
201421,259269,3,10.0
201422,274579,2,2.0
201425,298679,3,3.0
201427,286242,2,2.0
201428,115995,4,2.0
201435,274898,1,
201437,110498,2,
201439,176953,1,
201441,161068,1,
201443,115554,2,11.0
201444,203268,1,5.0
201447,176583,1,1.0
201448,132594,2,3.0
201450,182720,1,
201451,158876,7,1.0
201452,209921,3,
201453,277392,1,1.0
201456,296766,2,
201462,130796,1,
201465,131728,3,8.0
201466,264266,2,1.0
201467,186985,4,
201470,122936,5,5.0
201471,105223,1,1.0
201473,130368,2,8.0
201478,230216,2,5.0
201482,288880,1,4.0
201486,109334,3,
201487,189241,5,11.0
201488,171245,3,1.0
201491,201812,4,3.0
201492,221422,4,2.0
201497,201156,1,4.0
201498,288886,1,2.0
201503,261182,3,1.0
201506,280375,3,6.0
201509,102653,2,2.0
201510,261169,4,12.0
201512,220343,1,
201515,310712,3,3.0
201525,242975,2,1.0
201529,157404,3,3.0
201532,242605,1,2.0
201534,106685,1,3.0
201537,319747,4,10.0
201538,310189,1,
201539,129368,3,2.0
201540,239906,5,
201547,156621,2,3.0
201548,209939,1,3.0
201551,295099,2,2.0
201552,265814,4,8.0
201554,305488,2,13.0
201555,207054,3,1.0
201556,197835,1,
201557,284846,2,6.0
201558,315313,1,6.0
201560,143554,2,2.0
201561,294585,2,8.0
201566,282928,2,3.0
201571,173249,3,3.0
201574,210835,2,2.0
201594,210934,2,
201596,162183,2,1.0
201597,129074,6,24.0
201598,197717,4,4.0
201600,107643,1,2.0
201601,213051,3,5.0
201602,286226,3,
201603,310243,3,6.0
201605,184920,2,1.0
201608,235677,2,
201610,108565,1,2.0
201671,111661,4,6.0
201677,198700,3,6.0
201678,212142,3,10.0
201689,307186,1,
201693,269729,2,5.0
201695,270102,3,1.0
201703,312788,2,2.0
201715,173213,1,1.0
201719,222292,1,4.0
201720,132731,5,5.0
201725,166087,3,
201727,185266,1,
201732,255003,1,
201733,144691,3,1.0
201736,265363,1,
201748,236254,1,
201752,273303,1,2.0
201757,256685,3,2.0
201761,247587,3,2.0
201763,168455,1,
201764,148364,5,12.0
201768,284997,3,3.0
201772,295629,4,6.0
201779,145075,1,1.0
201780,174513,2,2.0
201781,182145,2,
201782,291293,2,3.0
201783,262731,12,25.0
201786,220385,3,
201791,102442,3,4.0
201794,301972,2,3.0
201797,303893,2,1.0
201800,212700,6,8.0
201809,274700,4,8.0
201815,183438,3,1.0
201816,242070,1,
201822,312893,2,6.0
201823,169612,1,
201825,271096,1,
201832,257912,1,1.0
201835,171874,2,1.0
201855,206788,1,
201856,282026,2,
201858,319003,6,15.0
201859,264004,3,4.0
201868,226930,2,
201906,212738,1,5.0
201908,144467,1,1.0
201912,180601,2,
201913,281120,1,1.0
201915,178502,1,3.0
201916,115067,3,7.0
201918,234623,1,
201919,133561,3,4.0
201920,240854,3,5.0
201922,223722,3,11.0
201926,168629,2,2.0
201929,224624,1,
201930,145895,2,
201937,164768,4,5.0
201938,158015,1,2.0
201941,114320,4,8.0
201945,150788,3,5.0
201953,230960,2,2.0
201966,302296,1,3.0
201967,139541,2,11.0
201972,190814,2,2.0
201974,298355,3,3.0
201976,321482,3,4.0
201980,220541,6,7.0
201982,227785,2,3.0
201985,175042,3,7.0
201987,140933,2,1.0
201988,286156,3,5.0
201991,288648,2,3.0
201995,134903,1,1.0
201998,114454,3,4.0
202001,286207,1,1.0
202005,196470,1,1.0
202006,153932,2,2.0
202007,116893,5,6.0
202009,106871,1,1.0
202016,205475,1,
202028,270820,4,3.0
202034,171143,1,1.0
202036,317351,2,6.0
202040,130831,2,3.0
202044,231550,5,6.0
202046,310713,2,
202048,298257,2,4.0
202049,215286,2,3.0
202051,171035,1,5.0
202053,118777,4,8.0
202054,248595,4,9.0
202055,168081,2,
202056,118988,2,2.0
202059,216375,2,
202060,148023,1,1.0
202061,272417,3,10.0
202063,160905,1,
202064,229710,6,16.0
202071,129136,5,17.0
202073,247484,1,2.0
202074,202243,4,5.0
202080,297076,6,16.0
202087,102895,3,3.0
202088,301425,2,1.0
202093,269034,1,
202100,311669,2,
202149,186690,1,
202157,294932,3,2.0
202162,126265,2,9.0
202163,213704,1,
202164,227194,1,3.0
202169,317377,1,7.0
202177,223778,2,
202182,235534,1,
202184,105530,2,2.0
202186,193031,2,4.0
202190,164232,1,2.0
202192,225798,1,
202201,259632,3,4.0
202203,151471,1,
202204,110607,2,2.0
202205,148347,2,1.0
202207,132891,1,3.0
202210,136845,1,2.0
202216,302862,1,
202223,168299,1,1.0
202224,192452,3,15.0
202227,226058,1,1.0
202231,200277,4,6.0
202233,162837,6,11.0
202234,108492,5,2.0
202236,308227,1,
202237,123246,2,3.0
202242,323462,1,
202244,263997,1,
202246,277706,1,2.0
202248,214955,1,1.0
202253,207232,1,1.0
202255,170597,1,5.0
202259,179129,2,5.0
202273,292056,1,2.0
202276,181393,3,3.0
202277,302245,1,2.0
202278,135948,5,14.0
202279,182927,1,1.0
202281,198166,1,
202282,197597,1,
202284,244363,1,1.0
202294,132628,2,6.0
202295,114321,3,7.0
202296,180130,1,2.0
202297,275895,4,1.0
202299,255089,2,1.0
202301,103093,4,7.0
202307,194622,1,1.0
202308,243572,1,
202311,261395,1,
202314,241786,2,3.0
202316,115929,4,2.0
202320,253294,1,2.0
202322,290277,1,8.0
202324,230183,1,1.0
202328,231138,1,
202334,210583,2,3.0
202336,253709,1,
202338,258054,1,
202369,281563,1,
202372,248112,1,1.0
202379,305430,2,
202383,172597,2,
202384,265497,1,
202385,178386,1,1.0
202386,257392,1,6.0
202388,183946,3,4.0
202395,107565,2,3.0
202396,134879,1,1.0
202403,283128,3,5.0
202404,163155,2,4.0
202409,121323,3,3.0
202410,141519,1,
202416,260551,2,1.0
202417,160209,6,7.0
202418,136930,1,
202423,275847,3,1.0
202427,316213,2,4.0
202428,324807,3,2.0
202429,224412,1,
202431,136809,2,2.0
202432,139905,3,3.0
202435,260094,3,3.0
202439,258589,8,11.0
202452,277110,3,
202459,322628,2,2.0
202462,162094,2,2.0
202465,205227,5,7.0
202466,226392,1,1.0
202467,309771,2,4.0
202469,307688,1,
202470,244775,1,
202472,131748,4,7.0
202474,306135,5,6.0
202477,288031,3,3.0
202478,266182,2,3.0
202482,126018,4,9.0
202493,296513,1,
202497,146418,1,1.0
202499,176958,3,9.0
202501,185652,3,7.0
202511,103626,5,10.0
202522,266616,4,3.0
202524,189669,1,
202566,205202,2,
202570,311709,2,1.0
202571,167915,2,8.0
202572,259932,2,2.0
202575,308500,2,1.0
202577,212450,1,1.0
202579,274753,3,12.0
202580,142789,2,4.0
202581,274532,4,1.0
202583,265129,5,3.0
202590,186863,1,
202592,305790,7,15.0
202598,203150,2,5.0
202599,116421,1,
202601,297992,2,3.0
202605,244753,2,
202609,304123,1,6.0
202610,125936,10,15.0
202617,181252,1,5.0
202618,203889,1,1.0
202619,154559,1,
202624,107465,1,1.0
202625,294783,5,6.0
202627,214916,1,
202630,120561,1,2.0
202632,141571,5,5.0
202639,176678,2,
202640,305033,1,
202643,101393,2,
202644,228288,1,4.0
202646,124448,2,8.0
202647,187512,2,
202651,310413,2,4.0
202652,297743,4,5.0
202664,198348,11,12.0
202665,190918,2,2.0
202673,106053,1,3.0
202679,271963,4,2.0
202680,106008,1,1.0
202689,324656,2,
202690,235579,2,6.0
202691,211032,3,5.0
202694,176266,1,2.0
202699,257309,3,5.0
202700,139517,2,1.0
202702,163074,2,4.0
202707,114715,1,1.0
202708,123492,3,1.0
202713,232061,5,8.0
202718,163787,2,2.0
202720,256417,3,3.0
202721,288156,1,
202724,121622,1,
202728,200199,2,1.0
202730,143988,1,
202734,280295,7,6.0
202735,152096,5,7.0
202736,292213,2,
202737,273055,1,1.0
202738,172159,1,3.0
202743,163427,1,3.0
202746,261798,1,
202748,294776,1,
202784,136433,2,3.0
202785,117858,1,2.0
202794,210084,4,
202795,115502,6,11.0
202796,238272,1,1.0
202800,226151,1,1.0
202802,161662,1,
202806,297252,8,21.0
202810,169843,1,1.0
202816,173265,1,2.0
202818,170672,1,
202822,165336,4,7.0
202823,128644,1,3.0
202829,152169,1,1.0
202841,155340,3,4.0
202847,248302,4,6.0
202848,189681,2,1.0
202849,181876,3,3.0
202852,151444,2,1.0
202869,227697,1,4.0
202870,320202,2,
202872,157485,1,
202876,255407,1,3.0
202878,302004,4,3.0
202879,178802,2,6.0
202885,214520,2,1.0
202887,313692,2,2.0
202888,282031,3,
202894,200811,3,
202896,254389,4,3.0
202901,187736,1,2.0
202905,251642,2,16.0
202912,133960,1,5.0
202922,209261,1,6.0
202923,117397,2,1.0
202926,203745,1,2.0
202929,280171,1,1.0
202933,199750,1,1.0
202939,172464,1,
202942,156345,3,4.0
202943,273028,2,3.0
202945,236892,1,1.0
202947,247510,2,2.0
202948,187792,1,
202950,322306,2,1.0
202954,225268,3,1.0
202984,254999,3,6.0
202985,218386,4,5.0
202986,217648,1,
202989,279457,5,6.0
202997,299028,2,
202998,219918,1,
202999,289382,2,3.0
203001,298946,1,
203002,245934,2,1.0
203003,260367,1,
203005,136375,1,9.0
203010,256264,2,1.0
203011,244911,2,2.0
203018,130914,3,5.0
203019,181130,2,3.0
203026,159735,1,
203033,179798,2,2.0
203034,154818,3,4.0
203040,244770,1,1.0
203042,319079,1,
203049,323793,1,1.0
203058,317975,1,1.0
203059,153219,2,3.0
203065,180594,3,6.0
203068,173834,2,1.0
203069,219516,7,1.0
203071,134383,1,1.0
203072,108792,1,
203083,248798,3,3.0
203084,151942,2,1.0
203088,211092,4,2.0
203101,163612,2,1.0
203104,281693,4,4.0
203105,249522,1,1.0
203109,150165,1,2.0
203110,197381,2,
203113,107204,3,7.0
203116,227386,2,1.0
203117,245606,5,1.0
203120,112555,2,4.0
203125,239920,2,1.0
203151,227125,3,5.0
203154,234056,1,2.0
203155,237942,4,9.0
203161,213325,1,3.0
203173,153250,4,2.0
203175,223243,6,1.0
203178,171317,1,1.0
203179,120915,2,4.0
203183,221225,1,3.0
203185,228623,1,8.0
203189,156098,1,
203192,224268,2,1.0
203194,298016,1,
203197,125359,5,8.0
203199,102209,1,2.0
203203,175531,1,1.0
203206,185615,1,5.0
203214,164402,3,5.0
203220,234966,4,
203222,158360,4,9.0
203224,178661,3,2.0
203227,154061,1,
203230,156270,5,2.0
203232,127354,1,
203234,319451,1,1.0
203237,316430,2,5.0
203243,268029,3,28.0
203245,213478,3,
203247,113215,2,
203258,305410,1,2.0
203259,198820,5,2.0
203261,162260,2,
203264,138976,5,6.0
203267,169963,4,8.0
203270,142145,6,10.0
203271,258150,2,2.0
203278,301403,4,20.0
203279,251009,3,3.0
203295,244536,2,2.0
203296,102298,1,
203299,221963,1,2.0
203300,279402,1,1.0
203303,305117,1,2.0
203305,190914,4,8.0
203308,138244,3,1.0
203311,295175,6,8.0
203312,110509,2,5.0
203324,270723,3,
203348,233258,1,1.0
203349,187547,2,2.0
203351,190230,1,
203355,175008,1,
203356,291481,4,9.0
203357,168321,3,1.0
203360,235964,1,
203372,259505,2,3.0
203373,135220,1,
203374,286924,1,3.0
203377,149244,3,3.0
203380,185949,6,13.0
203382,157054,1,
203386,299882,4,6.0
203389,169732,4,4.0
203392,217489,2,1.0
203393,179387,2,4.0
203394,281081,5,7.0
203395,113139,1,5.0
203396,300775,8,15.0
203403,214622,1,
203407,221066,1,1.0
203409,232944,1,
203413,319593,2,2.0
203415,217434,1,
203418,251626,2,2.0
203422,313287,4,5.0
203423,317809,5,8.0
203424,193986,2,10.0
203425,226164,1,
203426,140422,2,5.0
203428,116600,2,1.0
203429,106289,1,1.0
203437,166261,1,2.0
203439,281706,5,6.0
203444,184963,1,4.0
203446,282821,2,7.0
203447,319752,1,1.0
203454,156188,1,
203457,238101,1,
203461,213868,1,1.0
203462,214121,1,
203463,209790,2,1.0
203465,261528,3,4.0
203467,265251,4,2.0
203470,184688,1,
203472,318688,4,3.0
203473,305525,2,4.0
203475,221445,1,2.0
203513,265929,6,7.0
203514,255155,1,2.0
203516,277935,1,
203518,190276,1,3.0
203523,288019,4,8.0
203524,262908,1,
203531,286955,1,1.0
203535,235710,3,4.0
203544,257034,3,7.0
203546,286973,1,1.0
203549,135554,1,
203550,123176,2,4.0
203551,242529,1,3.0
203552,272296,1,2.0
203559,152410,1,2.0
203560,180576,1,1.0
203564,150191,1,3.0
203565,277734,1,1.0
203569,148922,2,4.0
203570,305156,2,
203573,114465,1,1.0
203576,113203,4,6.0
203579,249932,2,1.0
203581,130855,1,
203583,227117,5,1.0
203585,285167,2,3.0
203588,241305,1,
203589,269645,3,3.0
203593,131337,3,3.0
203597,203138,2,5.0
203604,257983,2,3.0
203608,190221,2,
203613,293262,2,2.0
203614,186961,1,
203621,104993,1,1.0
203623,109163,1,
203625,167973,1,1.0
203627,149550,1,
203630,226319,4,6.0
203631,273929,2,2.0
203633,249669,1,1.0
203634,228045,1,2.0
203635,136191,2,4.0
203636,128424,1,3.0
203637,147158,1,1.0
203642,232839,1,2.0
203643,228978,1,
203649,160305,2,
203650,190728,1,
203675,281800,2,1.0
203685,266942,2,1.0
203686,198998,1,1.0
203689,188674,2,2.0
203694,165563,1,
203699,102396,4,2.0
203700,320409,3,5.0
203701,110455,1,
203703,191007,1,1.0
203706,292681,1,
203708,202140,2,
203712,224924,2,
203713,257652,2,1.0
203714,261661,1,
203718,259730,2,
203720,115847,2,3.0
203721,293036,1,
203723,227467,1,4.0
203728,251219,2,1.0
203730,191622,2,
203732,165972,1,5.0
203737,148438,2,3.0
203739,100677,1,1.0
203747,157408,3,5.0
203755,106263,1,3.0
203756,284525,2,2.0
203760,250248,1,2.0
203761,302547,1,1.0
203764,220817,3,4.0
203769,250532,1,
203771,170881,3,1.0
203774,302987,1,
203777,146967,1,7.0
203783,138335,2,1.0
203787,322744,1,3.0
203790,180918,3,3.0
203795,111909,2,3.0
203800,249142,1,1.0
203803,320759,8,4.0
203809,140868,2,
203812,124577,1,2.0
203814,280746,4,6.0
203820,316198,1,
203841,199330,2,
203848,178670,3,4.0
203857,252229,2,2.0
203864,257972,5,1.0
203867,320825,1,
203872,278991,2,1.0
203874,257249,1,
203878,266861,1,1.0
203882,265320,1,2.0
203884,117330,4,9.0
203885,244399,4,8.0
203887,240936,2,3.0
203888,284618,2,
203908,304353,1,3.0
203913,259336,1,
203915,200736,1,3.0
203917,202230,1,
203918,223623,1,
203924,227774,3,4.0
203927,107541,1,2.0
203932,131415,1,
203934,274020,1,
203937,229509,1,1.0
203940,323174,2,1.0
203941,275452,1,
203950,204012,3,1.0
203951,164039,4,1.0
203952,309085,2,5.0
203954,322307,5,8.0
203955,184677,2,4.0
203961,125195,1,4.0
203962,158061,1,
203963,174396,1,3.0
203966,215302,1,1.0
203969,188670,1,2.0
203975,186588,2,
203981,112799,1,1.0
203984,281974,2,2.0
203986,219592,1,
203987,262218,1,
203989,104338,1,
203990,110779,1,1.0
204019,142754,3,5.0
204037,312193,3,
204039,119941,1,2.0
204042,191643,1,1.0
204043,200853,1,4.0
204048,259708,1,1.0
204051,159434,1,
204052,324565,1,1.0
204055,122827,1,2.0
204058,239573,1,6.0
204059,136340,1,1.0
204063,200701,2,5.0
204065,254417,1,1.0
204067,149595,2,2.0
204068,220374,1,1.0
204077,302015,2,2.0
204078,124285,1,1.0
204080,304567,1,
204086,199693,1,1.0
204090,324189,2,3.0
204091,136512,2,2.0
204092,168780,1,
204096,225905,1,3.0
204098,140380,2,
204102,174347,2,1.0
204103,170438,1,
204114,158401,1,
204117,141936,2,1.0
204118,199788,2,
204119,284012,2,4.0
204123,305548,1,3.0
204125,282874,1,
204149,133544,2,5.0
204150,305798,1,1.0
204151,277090,3,5.0
204157,287429,1,
204162,123360,2,34.0
204165,318905,1,
204166,132041,3,3.0
204177,196566,2,2.0
204182,219007,1,
204189,179598,4,6.0
204192,218146,1,1.0
204196,210792,1,2.0
204199,169036,3,3.0
204200,268208,1,2.0
204208,308681,3,1.0
204214,219474,2,2.0
204220,102463,1,1.0
204227,146900,4,9.0
204228,310309,1,6.0
204232,102276,6,9.0
204235,138560,1,2.0
204245,157849,1,1.0
204248,158076,1,3.0
204251,124057,2,4.0
204285,167060,1,
204288,208882,1,
204291,232596,3,6.0
204292,304537,1,4.0
204297,219318,1,2.0
204298,141372,3,3.0
204305,100310,2,
204308,140945,1,1.0
204310,191251,1,
204312,246664,2,4.0
204318,234784,1,
204324,263449,1,
204327,206030,3,3.0
204333,137585,5,17.0
204334,260099,1,
204335,103201,1,4.0
204345,163976,2,
204354,187040,2,12.0
204359,105487,2,5.0
204366,256998,2,8.0
204376,285776,1,
204381,194050,1,13.0
204404,148392,3,9.0
204405,136585,2,4.0
204407,302067,2,
204412,133031,1,
204414,225834,4,5.0
204418,194412,1,2.0
204422,142978,3,2.0
204428,255893,1,1.0
204429,166731,1,
204431,219290,2,
204436,183287,1,
204437,208014,1,2.0
204440,227315,1,1.0
204445,228121,1,
204446,286189,2,4.0
204459,252232,1,1.0
204461,181810,2,4.0
204465,293555,2,
204466,222440,2,7.0
204467,236037,2,1.0
204478,175136,2,4.0
204479,258624,3,2.0
204480,107451,3,1.0
204485,270759,1,
204488,244803,2,1.0
204492,194482,2,
204493,135826,3,7.0
204503,280049,1,1.0
204504,243484,2,1.0
204505,316254,3,15.0
204507,243168,6,6.0
204508,151343,1,4.0
204509,285594,1,
204510,211343,1,1.0
204512,280989,2,4.0
204520,258027,2,1.0
204544,309129,1,2.0
204549,127174,3,5.0
204555,184399,1,
204559,305943,1,1.0
204562,177793,1,2.0
204564,315498,3,4.0
204572,280576,3,10.0
204575,213897,1,1.0
204576,154700,1,
204578,207283,1,8.0
204584,315784,2,
204585,170652,2,
204586,151763,1,
204589,101300,1,2.0
204594,197400,4,4.0
204598,227295,2,
204602,206510,1,3.0
204603,194720,2,
204604,250639,1,
204605,103132,1,1.0
204609,125201,2,1.0
204610,193555,1,8.0
204612,194293,2,9.0
204614,256643,2,
204615,100807,3,4.0
204616,322121,1,
204623,128654,4,1.0
204628,284326,2,1.0
204629,139296,2,3.0
204630,214737,1,1.0
204633,216925,2,
204639,299013,2,3.0
204640,187999,3,4.0
204641,286825,1,1.0
204649,180533,2,1.0
204650,220483,3,2.0
204657,131273,2,8.0
204666,108282,1,2.0
204669,259957,2,1.0
204694,167712,5,34.0
204695,276619,1,
204697,269238,2,1.0
204698,185937,1,
204699,167556,1,4.0
204701,300691,1,1.0
204704,200156,3,8.0
204705,265273,2,4.0
204706,270936,2,1.0
204709,106965,1,6.0
204711,255286,1,
204713,133355,2,2.0
204714,227424,1,1.0
204716,164509,1,
204717,108355,1,2.0
204719,200302,1,1.0
204720,157709,2,4.0
204721,224437,2,
204723,293851,2,1.0
204732,248493,1,1.0
204735,260622,1,
204737,306770,1,
204743,142873,3,4.0
204744,241875,2,1.0
204746,180294,1,
204748,214399,1,
204749,148988,1,6.0
204758,319263,1,
204759,152919,1,
204760,188827,2,3.0
204763,169093,3,
204768,134697,1,2.0
204771,235816,3,6.0
204774,103359,3,4.0
204784,166978,1,
204806,259819,3,2.0
204808,180664,1,2.0
204813,125180,1,
204814,112509,2,
204816,131408,4,6.0
204823,169516,4,4.0
204828,235740,1,
204833,297447,1,3.0
204834,219012,1,2.0
204836,258642,1,1.0
204841,172970,1,
204844,201828,2,3.0
204847,193975,1,
204850,186531,3,4.0
204851,155481,2,4.0
204853,169603,1,
204855,194904,5,13.0
204857,180401,2,3.0
204859,163554,2,2.0
204862,182416,1,
204866,183758,1,1.0
204881,243119,1,
204884,145385,1,
204885,105506,1,1.0
204887,193605,1,
204888,265664,2,
204889,293004,2,6.0
204892,229783,2,1.0
204896,316493,1,
