,IDENTIFIER,TRX_AMOUNT,TRX_CNT,MERCHANT_CNT,MODE_1,MODE_1_CNT
111923,202689,3.43,2,1,Mobile top-up,2
111924,148167,4.43,4,2,Mobile top-up,4
111925,240721,10.83,6,2,Mobile top-up,6
111926,230361,1.0,1,1,Mobile top-up,1
111927,264795,8.57,1,1,Mobile top-up,1
111928,171737,12.08,2,1,Mobile top-up,2
111929,177424,18.97,1,1,Mobile top-up,1
111930,291506,2.83,1,1,Mobile top-up,1
111931,165552,12.11,2,1,Mobile top-up,2
111932,273458,11.43,1,1,Mobile top-up,1
111933,246332,1.71,1,1,Mobile top-up,1
111934,270574,12.0,7,2,Mobile top-up,7
111935,219556,1.0,1,1,Mobile top-up,1
111936,168158,1.71,1,1,Mobile top-up,1
111937,157671,8.29,2,1,Mobile top-up,2
111938,325458,7.14,1,1,Mobile top-up,1
111939,315866,1.71,1,1,Mobile top-up,1
111940,236110,7.14,1,1,Mobile top-up,1
111941,290054,6.0,1,1,Mobile top-up,1
111942,305713,3.43,1,1,Mobile top-up,1
113718,270455,13.4,4,2,Mobile top-up,4
113719,245967,29.25,1,1,Mobile top-up,1
113720,275174,12.86,11,1,Mobile top-up,11
113721,163826,19.52,1,1,Mobile top-up,1
113722,101238,8.57,1,1,Mobile top-up,1
113723,215502,6.82,1,1,Mobile top-up,1
113724,301928,0.86,1,1,Mobile top-up,1
113725,201846,2.83,1,1,Mobile top-up,1
113726,325661,2.83,1,1,Mobile top-up,1
113727,286325,26.59,4,2,Mobile top-up,4
113728,307556,4.03,1,1,Mobile top-up,1
113729,141435,9.34,4,1,Mobile top-up,4
113730,279287,15.29,8,1,Mobile top-up,8
113731,248756,9.34,4,1,Mobile top-up,4
113732,233252,5.86,7,2,Mobile top-up,7
113733,186383,13.51,7,2,Mobile top-up,7
113734,164254,13.94,6,1,Mobile top-up,6
113735,254986,1.71,1,1,Mobile top-up,1
113736,112074,21.14,2,2,Mobile top-up,2
113737,296539,12.7,1,1,Mobile top-up,1
113738,252729,4.45,1,1,Mobile top-up,1
113739,317844,4.29,1,1,Mobile top-up,1
113740,172416,19.54,2,1,Mobile top-up,2
113741,103029,0.71,1,1,Mobile top-up,1
113742,151997,16.17,5,1,Mobile top-up,5
113743,166159,7.43,2,2,Mobile top-up,2
113744,219618,35.25,1,1,Mobile top-up,1
113745,208949,2.86,1,1,Mobile top-up,1
113746,103483,6.71,3,2,Mobile top-up,3
113747,161984,11.31,4,1,Mobile top-up,4
113748,185556,7.31,1,1,Mobile top-up,1
113749,202761,22.86,5,2,Mobile top-up,5
113750,307904,6.86,2,1,Mobile top-up,2
113751,224340,8.57,6,3,Mobile top-up,6
113752,132372,4.57,2,2,Mobile top-up,2
113753,311558,10.49,3,2,Mobile top-up,3
113754,207158,9.34,4,1,Mobile top-up,4
113755,208579,6.51,3,1,Mobile top-up,3
113756,241616,11.83,3,2,Mobile top-up,3
113757,322278,1.71,2,1,Mobile top-up,2
113758,251651,2.86,1,1,Mobile top-up,1
113759,132707,18.43,9,2,Mobile top-up,9
113760,237253,13.87,3,2,Mobile top-up,3
113761,113718,9.43,4,1,Mobile top-up,4
113762,175325,27.5,3,2,Mobile top-up,3
113763,272380,7.14,1,1,Mobile top-up,1
113764,258691,7.14,1,1,Mobile top-up,1
113765,310784,3.83,2,2,Mobile top-up,2
113766,279208,10.86,4,2,Mobile top-up,4
113767,285492,5.71,2,1,Mobile top-up,2
113768,297378,20.69,8,1,Mobile top-up,8
113769,115045,11.7,2,2,Mobile top-up,2
113770,284495,20.6,4,3,Mobile top-up,4
113771,226489,4.29,1,1,Mobile top-up,1
113772,286593,4.57,3,2,Mobile top-up,3
113773,129229,1.0,1,1,Mobile top-up,1
113774,152945,3.71,3,1,Mobile top-up,3
113775,269033,0.86,1,1,Mobile top-up,1
113776,206464,1.0,1,1,Mobile top-up,1
113777,187469,0.86,1,1,Mobile top-up,1
113778,200103,2.83,1,1,Mobile top-up,1
113779,198893,16.76,1,1,Mobile top-up,1
113780,215137,4.14,3,1,Mobile top-up,3
113781,261132,2.57,3,2,Mobile top-up,3
113782,134767,11.06,3,1,Mobile top-up,3
113783,149240,6.29,3,2,Mobile top-up,3
113784,256106,7.55,1,1,Mobile top-up,1
113785,209201,28.05,2,2,Mobile top-up,2
113786,125179,9.66,5,2,Mobile top-up,5
113787,321460,8.26,5,2,Mobile top-up,5
113788,106427,4.54,2,2,Mobile top-up,2
113789,127576,5.54,3,1,Mobile top-up,3
113790,295055,6.37,3,2,Mobile top-up,3
113791,115247,5.66,2,1,Mobile top-up,2
113792,145189,4.29,1,1,Mobile top-up,1
113793,107185,3.69,1,1,Mobile top-up,1
113794,294689,14.8,3,2,Mobile top-up,3
113795,133575,12.89,4,3,Mobile top-up,4
113796,320956,17.46,1,1,Mobile top-up,1
113797,117732,30.86,5,3,Mobile top-up,5
113798,295456,17.57,9,2,Mobile top-up,9
113799,165504,2.83,1,1,Mobile top-up,1
113800,167902,1.71,1,1,Mobile top-up,1
113801,149616,6.62,1,1,Mobile top-up,1
113802,176097,10.23,1,1,Mobile top-up,1
113803,185418,13.27,1,1,Mobile top-up,1
113804,184916,4.71,5,2,Mobile top-up,5
113805,300179,18.0,1,1,Mobile top-up,1
113806,111187,12.54,9,3,Mobile top-up,9
113807,300231,4.57,5,2,Mobile top-up,5
113808,181096,17.71,5,3,Mobile top-up,5
113809,237458,15.46,6,3,Mobile top-up,6
113810,295025,1.0,1,1,Mobile top-up,1
113811,107131,2.86,1,1,Mobile top-up,1
113812,160981,2.86,1,1,Mobile top-up,1
113813,134179,1.43,1,1,Mobile top-up,1
113814,310004,6.0,1,1,Mobile top-up,1
113815,205057,50.39,1,1,Mobile top-up,1
113816,253139,0.71,1,1,Mobile top-up,1
113817,306988,4.36,4,2,Mobile top-up,4
113818,206281,15.43,1,1,Mobile top-up,1
113819,116815,2.71,3,1,Mobile top-up,3
113820,145330,7.14,1,1,Mobile top-up,1
113821,148145,7.14,1,1,Mobile top-up,1
113822,153205,3.83,3,2,Mobile top-up,3
113823,113223,15.67,4,2,Mobile top-up,4
113824,283006,8.57,4,1,Mobile top-up,4
113825,115084,3.43,1,1,Mobile top-up,1
113826,118308,6.0,1,1,Mobile top-up,1
113827,208782,2.57,3,1,Mobile top-up,3
113828,127267,29.77,9,2,Mobile top-up,9
113829,124906,11.53,1,1,Mobile top-up,1
113830,136220,18.57,3,3,Mobile top-up,3
113831,282646,1.57,2,2,Mobile top-up,2
113832,122357,12.88,2,2,Mobile top-up,2
113833,312837,4.86,3,2,Mobile top-up,3
113834,101377,28.74,2,2,Mobile top-up,2
113835,311111,1.71,1,1,Mobile top-up,1
113836,251762,22.51,1,1,Mobile top-up,1
113837,239312,1.0,1,1,Mobile top-up,1
113838,126612,16.85,1,1,Mobile top-up,1
113839,132218,10.05,1,1,Mobile top-up,1
113840,141856,8.34,1,1,Mobile top-up,1
113841,282724,1.71,2,1,Mobile top-up,2
113842,303699,10.08,1,1,Mobile top-up,1
113843,265659,18.49,5,1,Mobile top-up,5
113844,312647,21.37,2,2,Mobile top-up,2
113845,315354,4.29,1,1,Mobile top-up,1
113846,278182,5.71,3,1,Mobile top-up,3
113847,310001,2.86,1,1,Mobile top-up,1
113848,238863,6.54,3,2,Mobile top-up,3
113849,168262,13.14,5,1,Mobile top-up,5
113850,318370,11.86,4,2,Mobile top-up,4
113851,214316,40.39,2,1,Mobile top-up,2
113852,153992,2.83,1,1,Mobile top-up,1
113853,203624,19.67,1,1,Mobile top-up,1
113854,295691,22.63,5,2,Mobile top-up,5
113855,129518,18.41,5,3,Mobile top-up,5
113856,264405,14.29,2,1,Mobile top-up,2
113857,129082,7.23,4,2,Mobile top-up,4
113858,196108,0.86,1,1,Mobile top-up,1
113859,132103,5.0,6,2,Mobile top-up,6
113860,226740,10.65,1,1,Mobile top-up,1
113861,322046,8.1,1,1,Mobile top-up,1
113862,179466,1.0,1,1,Mobile top-up,1
113863,127312,1.43,1,1,Mobile top-up,1
113864,251878,12.0,2,2,Mobile top-up,2
113865,172743,32.72,1,1,Mobile top-up,1
113866,318010,16.57,1,1,Mobile top-up,1
113867,106518,4.59,1,1,Mobile top-up,1
113868,112767,15.77,2,2,Mobile top-up,2
113869,309073,11.31,4,1,Mobile top-up,4
113870,187671,1.71,1,1,Mobile top-up,1
113871,206752,2.86,1,1,Mobile top-up,1
113872,251959,25.0,11,3,Mobile top-up,11
113873,111528,7.14,1,1,Mobile top-up,1
113874,143839,10.14,2,2,Mobile top-up,2
113875,323596,4.54,2,2,Mobile top-up,2
113876,249465,2.83,1,1,Mobile top-up,1
113877,309561,13.96,1,1,Mobile top-up,1
113878,291383,0.71,1,1,Mobile top-up,1
113879,155748,13.03,1,1,Mobile top-up,1
113880,127962,2.29,2,1,Mobile top-up,2
113881,130947,25.02,1,1,Mobile top-up,1
113882,141852,8.57,1,1,Mobile top-up,1
113883,317669,31.43,7,2,Mobile top-up,7
113884,137262,13.27,2,2,Mobile top-up,2
113885,193036,1.43,1,1,Mobile top-up,1
113886,141187,2.86,1,1,Mobile top-up,1
113887,135994,15.71,2,1,Mobile top-up,2
113888,251308,2.83,1,1,Mobile top-up,1
113889,150141,4.54,2,1,Mobile top-up,2
113890,252375,5.69,2,2,Mobile top-up,2
113891,102736,14.86,1,1,Mobile top-up,1
113892,106652,7.14,1,1,Mobile top-up,1
113893,120281,26.44,2,2,Mobile top-up,2
113894,284178,7.14,1,1,Mobile top-up,1
113895,278522,9.83,7,2,Mobile top-up,7
113896,198470,29.3,2,2,Mobile top-up,2
113897,308354,4.29,1,1,Mobile top-up,1
113898,140255,15.81,1,1,Mobile top-up,1
113899,269943,13.4,11,2,Mobile top-up,11
113900,127094,1.0,1,1,Mobile top-up,1
113901,187556,8.57,1,1,Mobile top-up,1
113902,318016,30.58,2,2,Mobile top-up,2
113903,143406,6.0,1,1,Mobile top-up,1
113904,115517,1.0,1,1,Mobile top-up,1
113905,187993,7.71,8,1,Mobile top-up,8
113906,171128,0.86,1,1,Mobile top-up,1
113907,260703,25.25,3,2,Mobile top-up,3
113908,241646,10.49,4,2,Mobile top-up,4
113909,137581,29.44,2,1,Mobile top-up,2
113910,122836,34.42,2,2,Mobile top-up,2
113911,265021,1.43,2,1,Mobile top-up,2
113912,236118,14.29,2,1,Mobile top-up,2
113913,244018,0.71,1,1,Mobile top-up,1
113914,310070,5.29,3,2,Mobile top-up,3
113915,302134,27.37,6,2,Mobile top-up,6
113916,138257,5.0,5,2,Mobile top-up,5
113917,187281,8.57,1,1,Mobile top-up,1
113918,139142,13.95,1,1,Mobile top-up,1
113919,281559,8.54,3,1,Mobile top-up,3
113920,303048,18.77,7,2,Mobile top-up,7
113921,108873,6.0,1,1,Mobile top-up,1
113922,125572,7.14,1,1,Mobile top-up,1
113923,117424,7.86,5,3,Mobile top-up,5
113924,161907,1.71,2,1,Mobile top-up,2
113925,295510,1.0,1,1,Mobile top-up,1
113926,224263,16.46,1,1,Mobile top-up,1
113927,115414,26.08,1,1,Mobile top-up,1
113928,152087,7.86,2,1,Mobile top-up,2
113929,316627,2.83,1,1,Mobile top-up,1
113930,217494,40.15,6,2,Mobile top-up,6
113931,176895,14.87,4,2,Mobile top-up,4
113932,260637,1.71,1,1,Mobile top-up,1
113933,214275,17.14,2,1,Mobile top-up,2
113934,278737,5.0,5,1,Mobile top-up,5
113935,181021,18.79,5,3,Mobile top-up,5
113936,250190,7.14,1,1,Mobile top-up,1
113937,228548,8.57,1,1,Mobile top-up,1
113938,308645,7.37,2,1,Mobile top-up,2
113939,303426,3.14,4,1,Mobile top-up,4
113940,161785,9.94,3,2,Mobile top-up,3
113941,130963,1.43,1,1,Mobile top-up,1
113942,101641,27.4,4,2,Mobile top-up,4
113943,319500,24.65,1,1,Mobile top-up,1
113944,228449,0.86,1,1,Mobile top-up,1
113945,131646,6.71,3,2,Mobile top-up,3
113946,102149,5.66,2,1,Mobile top-up,2
113947,142014,22.0,4,2,Mobile top-up,4
113948,124063,0.31,1,1,Mobile top-up,1
113949,224703,6.0,1,1,Mobile top-up,1
113950,191175,9.71,7,2,Mobile top-up,7
113951,116223,18.44,2,2,Mobile top-up,2
113952,171770,11.67,1,1,Mobile top-up,1
113953,194429,17.01,5,4,Mobile top-up,5
113954,134358,39.58,2,2,Mobile top-up,2
113955,131199,4.89,1,1,Mobile top-up,1
113956,105996,6.0,1,1,Mobile top-up,1
113957,138965,34.44,4,2,Mobile top-up,4
113958,224177,15.42,3,2,Mobile top-up,3
113959,243683,6.0,3,1,Mobile top-up,3
113960,296740,33.62,2,2,Mobile top-up,2
113961,102235,11.68,2,2,Mobile top-up,2
113962,214421,19.48,1,1,Mobile top-up,1
113963,297496,8.57,1,1,Mobile top-up,1
113964,104926,22.42,1,1,Mobile top-up,1
113965,122895,10.54,3,3,Mobile top-up,3
113966,255047,12.17,4,1,Mobile top-up,4
113967,138813,2.86,1,1,Mobile top-up,1
113968,223091,7.4,3,3,Mobile top-up,3
113969,214719,7.09,3,1,Mobile top-up,3
113970,324796,4.8,2,1,Mobile top-up,2
113971,234991,9.14,4,2,Mobile top-up,4
113972,314438,12.01,4,2,Mobile top-up,4
113973,158309,15.71,2,1,Mobile top-up,2
113974,294327,0.71,1,1,Mobile top-up,1
113975,214980,1.71,2,1,Mobile top-up,2
113976,272962,13.6,6,1,Mobile top-up,6
113977,172008,12.0,2,1,Mobile top-up,2
113978,108054,19.93,2,1,Mobile top-up,2
113979,254600,2.14,2,2,Mobile top-up,2
113980,109254,11.73,2,2,Mobile top-up,2
113981,180776,0.71,1,1,Mobile top-up,1
113982,129482,12.28,1,1,Mobile top-up,1
113983,301635,5.66,2,1,Mobile top-up,2
113984,323067,6.29,1,1,Mobile top-up,1
113985,258534,10.14,3,2,Mobile top-up,3
113986,308229,9.54,8,3,Mobile top-up,8
113987,199597,18.64,1,1,Mobile top-up,1
113988,198388,6.44,1,1,Mobile top-up,1
113989,280749,2.57,2,2,Mobile top-up,2
113990,172859,27.19,2,1,Mobile top-up,2
113991,324507,15.75,3,3,Mobile top-up,3
113992,227506,6.11,4,2,Mobile top-up,4
113993,141819,8.65,1,1,Mobile top-up,1
113994,304186,14.17,3,2,Mobile top-up,3
113995,188351,19.91,8,2,Mobile top-up,8
113996,149989,3.43,1,1,Mobile top-up,1
113997,269606,18.71,1,1,Mobile top-up,1
113998,145771,11.29,3,1,Mobile top-up,3
113999,308543,2.83,1,1,Mobile top-up,1
114000,137638,5.71,1,1,Mobile top-up,1
114001,268557,13.03,5,1,Mobile top-up,5
114002,316407,2.83,1,1,Mobile top-up,1
114003,193447,2.83,1,1,Mobile top-up,1
114004,197339,3.43,2,1,Mobile top-up,2
114005,320346,1.14,1,1,Mobile top-up,1
114006,125500,1.0,1,1,Mobile top-up,1
114007,217995,8.57,1,1,Mobile top-up,1
114008,238957,24.87,3,2,Mobile top-up,3
114009,222505,13.29,5,1,Mobile top-up,5
114010,237522,2.86,1,1,Mobile top-up,1
114011,182443,1.43,1,1,Mobile top-up,1
114012,272059,27.29,11,2,Mobile top-up,11
114013,256570,2.86,1,1,Mobile top-up,1
114014,314874,17.4,8,2,Mobile top-up,8
114015,168701,0.86,1,1,Mobile top-up,1
114016,259064,25.71,4,2,Mobile top-up,4
114017,245650,47.07,2,2,Mobile top-up,2
114018,131999,7.43,2,2,Mobile top-up,2
114019,207138,21.36,6,2,Mobile top-up,6
114020,235598,39.91,12,3,Mobile top-up,12
114021,136762,8.49,3,1,Mobile top-up,3
114022,150775,2.83,1,1,Mobile top-up,1
114023,186319,4.43,3,1,Mobile top-up,3
114024,226637,7.71,2,2,Mobile top-up,2
114025,112485,2.57,3,2,Mobile top-up,3
114026,225283,18.43,5,1,Mobile top-up,5
114027,260761,0.86,1,1,Mobile top-up,1
114028,263447,1.64,1,1,Mobile top-up,1
114029,237846,1.97,1,1,Mobile top-up,1
114030,316710,31.03,2,1,Mobile top-up,2
114031,123578,2.86,1,1,Mobile top-up,1
114032,320653,1.71,1,1,Mobile top-up,1
114033,287797,13.78,4,3,Mobile top-up,4
114034,275393,40.02,1,1,Mobile top-up,1
114035,237968,1.71,1,1,Mobile top-up,1
114036,200640,8.0,2,1,Mobile top-up,2
114037,186387,2.14,2,2,Mobile top-up,2
114038,184295,0.86,1,1,Mobile top-up,1
114039,138292,27.74,2,2,Mobile top-up,2
114040,248378,2.83,1,1,Mobile top-up,1
114041,124616,8.57,1,1,Mobile top-up,1
114042,100322,20.49,2,1,Mobile top-up,2
114043,253251,2.86,1,1,Mobile top-up,1
114044,116446,20.11,8,3,Mobile top-up,8
114045,224095,7.14,1,1,Mobile top-up,1
114046,319808,5.11,1,1,Mobile top-up,1
114047,246759,7.36,2,2,Mobile top-up,2
114048,285496,26.82,2,2,Mobile top-up,2
114049,171883,2.29,3,2,Mobile top-up,3
114050,173955,1.71,2,1,Mobile top-up,2
114051,109405,8.57,1,1,Mobile top-up,1
114052,218241,3.14,3,2,Mobile top-up,3
114053,245301,1.57,2,1,Mobile top-up,2
114054,285604,7.0,7,1,Mobile top-up,7
114055,264426,9.95,1,1,Mobile top-up,1
114056,281797,14.23,4,1,Mobile top-up,4
114057,290130,2.83,1,1,Mobile top-up,1
114058,243198,12.0,3,2,Mobile top-up,3
114059,325761,25.24,4,3,Mobile top-up,4
114060,168908,4.0,1,1,Mobile top-up,1
114061,199839,9.23,5,3,Mobile top-up,5
114062,306627,8.57,2,2,Mobile top-up,2
114063,304150,7.14,1,1,Mobile top-up,1
114064,253106,12.45,3,2,Mobile top-up,3
114065,204004,1.0,1,1,Mobile top-up,1
114066,203295,31.4,1,1,Mobile top-up,1
114067,200178,2.14,2,2,Mobile top-up,2
114068,151276,5.71,2,1,Mobile top-up,2
114069,215945,12.86,6,2,Mobile top-up,6
114070,277068,23.46,7,3,Mobile top-up,7
114071,175546,0.86,1,1,Mobile top-up,1
114072,203785,16.95,1,1,Mobile top-up,1
114073,133946,3.43,2,1,Mobile top-up,2
114074,287714,6.0,4,2,Mobile top-up,4
114075,167857,16.63,11,2,Mobile top-up,11
114076,242386,17.33,1,1,Mobile top-up,1
114077,176675,2.83,1,1,Mobile top-up,1
114078,269405,0.86,1,1,Mobile top-up,1
114079,174789,8.47,1,1,Mobile top-up,1
114080,322627,6.32,1,1,Mobile top-up,1
114081,181922,0.71,1,1,Mobile top-up,1
114082,311249,12.0,9,2,Mobile top-up,9
114083,243538,11.57,2,2,Mobile top-up,2
114084,281987,2.83,1,1,Mobile top-up,1
114085,158632,4.94,3,2,Mobile top-up,3
114086,186723,15.71,2,1,Mobile top-up,2
114087,247235,14.49,5,1,Mobile top-up,5
114088,263440,12.77,4,1,Mobile top-up,4
114089,132553,8.81,1,1,Mobile top-up,1
114090,279193,19.92,1,1,Mobile top-up,1
114091,183006,1.71,1,1,Mobile top-up,1
114092,229664,3.14,1,1,Mobile top-up,1
114093,277682,20.23,1,1,Mobile top-up,1
114094,188005,11.0,13,2,Mobile top-up,13
114095,165073,25.04,2,1,Mobile top-up,2
114096,142315,1.43,1,1,Mobile top-up,1
114097,244344,3.46,1,1,Mobile top-up,1
114098,121578,15.42,1,1,Mobile top-up,1
114099,122812,15.01,1,1,Mobile top-up,1
114100,281682,1.71,2,1,Mobile top-up,2
114101,161825,0.86,1,1,Mobile top-up,1
114102,147693,9.26,7,2,Mobile top-up,7
114103,308450,7.14,1,1,Mobile top-up,1
114104,251508,2.0,2,1,Mobile top-up,2
114105,242469,4.29,4,2,Mobile top-up,4
114106,146501,20.61,1,1,Mobile top-up,1
114107,193725,2.14,2,2,Mobile top-up,2
114108,297043,13.92,1,1,Mobile top-up,1
114109,254649,2.83,1,1,Mobile top-up,1
114110,103649,2.86,1,1,Mobile top-up,1
114111,225591,7.14,1,1,Mobile top-up,1
114112,248012,1.0,1,1,Mobile top-up,1
114113,170195,5.66,2,1,Mobile top-up,2
114114,290699,1.43,1,1,Mobile top-up,1
114115,211978,11.14,3,1,Mobile top-up,3
114116,151019,14.75,4,2,Mobile top-up,4
114117,181900,2.83,1,1,Mobile top-up,1
114118,287767,2.83,1,1,Mobile top-up,1
114119,108649,12.11,6,2,Mobile top-up,6
114120,288607,4.57,2,2,Mobile top-up,2
114121,127877,11.26,1,1,Mobile top-up,1
114122,292877,10.43,9,1,Mobile top-up,9
114123,255658,10.0,3,2,Mobile top-up,3
114124,308902,13.84,1,1,Mobile top-up,1
114125,306208,6.32,1,1,Mobile top-up,1
114126,179638,24.29,3,2,Mobile top-up,3
114127,147042,1.0,1,1,Mobile top-up,1
114128,269378,4.83,3,2,Mobile top-up,3
114129,148706,10.0,6,3,Mobile top-up,6
114130,190367,18.07,2,2,Mobile top-up,2
114131,235981,14.17,5,1,Mobile top-up,5
114132,273424,4.29,1,1,Mobile top-up,1
114133,146469,0.71,1,1,Mobile top-up,1
114134,267815,17.14,3,2,Mobile top-up,3
114135,218434,13.67,1,1,Mobile top-up,1
114136,177407,9.49,1,1,Mobile top-up,1
114137,207463,2.86,1,1,Mobile top-up,1
114138,321422,8.13,1,1,Mobile top-up,1
114139,282160,10.86,5,3,Mobile top-up,5
114140,264692,0.86,1,1,Mobile top-up,1
114141,214224,20.0,1,1,Mobile top-up,1
114142,117497,1.71,2,1,Mobile top-up,2
114143,246994,5.71,2,1,Mobile top-up,2
114144,199936,15.14,13,2,Mobile top-up,13
114145,167020,2.83,1,1,Mobile top-up,1
114146,261910,2.0,1,1,Mobile top-up,1
114147,204507,3.43,2,1,Mobile top-up,2
114148,311646,29.79,1,1,Mobile top-up,1
114149,151967,8.57,2,1,Mobile top-up,2
114150,270196,2.86,2,1,Mobile top-up,2
114151,200150,2.14,3,1,Mobile top-up,3
114152,248720,2.83,1,1,Mobile top-up,1
114153,248125,24.09,2,1,Mobile top-up,2
114154,103836,8.57,1,1,Mobile top-up,1
114155,197859,6.29,1,1,Mobile top-up,1
114156,318047,6.0,2,2,Mobile top-up,2
114157,183877,12.51,1,1,Mobile top-up,1
114158,111223,1.71,1,1,Mobile top-up,1
114159,114289,0.86,1,1,Mobile top-up,1
114160,283522,4.8,2,2,Mobile top-up,2
114161,114893,5.14,4,1,Mobile top-up,4
114162,202976,12.29,4,1,Mobile top-up,4
114163,313242,16.0,3,1,Mobile top-up,3
114164,195610,6.7,1,1,Mobile top-up,1
114165,255197,9.09,3,2,Mobile top-up,3
114166,164014,7.0,8,2,Mobile top-up,8
114167,288436,0.86,1,1,Mobile top-up,1
114168,323349,4.43,2,1,Mobile top-up,2
114169,279832,7.14,1,1,Mobile top-up,1
114170,306191,4.29,3,2,Mobile top-up,3
114171,159934,5.29,2,2,Mobile top-up,2
114172,181407,1.43,2,1,Mobile top-up,2
114173,129332,2.29,2,1,Mobile top-up,2
114174,127688,27.62,1,1,Mobile top-up,1
114175,213500,10.43,4,3,Mobile top-up,4
114176,305087,7.11,2,1,Mobile top-up,2
114177,122440,3.86,2,2,Mobile top-up,2
114178,209114,4.83,3,1,Mobile top-up,3
114179,125825,0.86,1,1,Mobile top-up,1
114180,165207,1.71,1,1,Mobile top-up,1
114181,110659,5.14,4,1,Mobile top-up,4
114182,151196,1.71,1,1,Mobile top-up,1
114183,284604,4.43,4,2,Mobile top-up,4
114184,253062,23.51,8,4,Mobile top-up,8
114185,214366,14.86,4,2,Mobile top-up,4
114186,164564,0.86,1,1,Mobile top-up,1
114187,126213,14.08,1,1,Mobile top-up,1
114188,197343,7.14,1,1,Mobile top-up,1
114189,244083,1.71,1,1,Mobile top-up,1
114190,162462,2.83,1,1,Mobile top-up,1
114191,137187,0.71,1,1,Mobile top-up,1
114192,215446,0.71,1,1,Mobile top-up,1
114193,103817,15.86,15,2,Mobile top-up,15
114194,261992,8.8,3,1,Mobile top-up,3
114195,228752,23.31,1,1,Mobile top-up,1
114196,325658,0.71,1,1,Mobile top-up,1
114197,275075,19.83,7,1,Mobile top-up,7
114198,233804,9.97,5,2,Mobile top-up,5
114199,220406,5.4,3,2,Mobile top-up,3
114200,155158,5.66,2,1,Mobile top-up,2
114201,171145,7.14,1,1,Mobile top-up,1
114202,231380,0.71,1,1,Mobile top-up,1
114203,306947,3.57,2,1,Mobile top-up,2
114204,152509,5.54,4,2,Mobile top-up,4
114205,195766,7.29,3,1,Mobile top-up,3
114206,312857,3.14,2,2,Mobile top-up,2
114207,277396,6.86,4,1,Mobile top-up,4
114208,292405,1.43,1,1,Mobile top-up,1
114209,224321,6.69,3,2,Mobile top-up,3
114210,271478,1.71,1,1,Mobile top-up,1
114211,319980,5.02,1,1,Mobile top-up,1
114212,283717,14.8,6,2,Mobile top-up,6
114213,131139,1.43,1,1,Mobile top-up,1
114214,239223,5.83,4,2,Mobile top-up,4
114215,299618,9.67,1,1,Mobile top-up,1
114216,210594,1.0,1,1,Mobile top-up,1
114217,256492,8.57,1,1,Mobile top-up,1
114218,180684,3.14,2,1,Mobile top-up,2
114219,312887,1.0,1,1,Mobile top-up,1
114220,238689,2.14,2,1,Mobile top-up,2
114221,249887,21.97,3,3,Mobile top-up,3
114222,230250,1.0,1,1,Mobile top-up,1
114223,223201,6.0,1,1,Mobile top-up,1
114224,308126,8.5,1,1,Mobile top-up,1
114225,213811,1.0,1,1,Mobile top-up,1
114226,207171,14.62,1,1,Mobile top-up,1
114227,312168,1.71,1,1,Mobile top-up,1
114228,260630,5.86,5,2,Mobile top-up,5
114229,281646,8.57,1,1,Mobile top-up,1
114230,227185,39.86,21,3,Mobile top-up,21
114231,146334,11.31,4,1,Mobile top-up,4
114232,182037,5.66,2,1,Mobile top-up,2
114233,217019,4.43,4,3,Mobile top-up,4
114234,278942,0.86,1,1,Mobile top-up,1
114235,193035,0.86,1,1,Mobile top-up,1
114236,249449,5.69,2,1,Mobile top-up,2
114237,157802,5.97,2,2,Mobile top-up,2
114238,308324,4.86,3,1,Mobile top-up,3
114239,151023,2.71,2,1,Mobile top-up,2
114240,282858,2.0,1,1,Mobile top-up,1
114241,186595,1.0,1,1,Mobile top-up,1
114242,320700,0.71,1,1,Mobile top-up,1
114243,202607,0.71,1,1,Mobile top-up,1
114244,308995,0.71,1,1,Mobile top-up,1
114245,274176,3.52,1,1,Mobile top-up,1
114246,256223,1.43,1,1,Mobile top-up,1
114247,244865,5.0,4,1,Mobile top-up,4
114248,209944,2.71,2,1,Mobile top-up,2
114249,325436,3.48,1,1,Mobile top-up,1
114250,131523,4.0,1,1,Mobile top-up,1
114251,222163,1.0,1,1,Mobile top-up,1
114252,231572,3.14,2,1,Mobile top-up,2
114253,161218,1.0,1,1,Mobile top-up,1
114254,240190,1.0,1,1,Mobile top-up,1
114255,306785,7.14,1,1,Mobile top-up,1
114256,260495,7.14,1,1,Mobile top-up,1
115999,108085,20.25,2,1,Mobile top-up,2
116000,112267,6.0,1,1,Mobile top-up,1
116001,175748,8.57,2,1,Mobile top-up,2
116002,188846,2.83,1,1,Mobile top-up,1
116003,115545,24.23,1,1,Mobile top-up,1
116004,123849,10.29,4,2,Mobile top-up,4
116005,146069,4.29,1,1,Mobile top-up,1
116006,312755,3.86,2,2,Mobile top-up,2
116007,287082,7.39,1,1,Mobile top-up,1
116008,216864,1.71,2,1,Mobile top-up,2
116009,157885,13.57,8,2,Mobile top-up,8
116010,278082,12.0,7,2,Mobile top-up,7
116011,165118,7.71,7,1,Mobile top-up,7
116012,304424,4.8,2,1,Mobile top-up,2
116013,325833,12.69,6,1,Mobile top-up,6
116014,321867,15.37,5,2,Mobile top-up,5
116015,274266,11.73,1,1,Mobile top-up,1
116016,246556,8.49,3,1,Mobile top-up,3
116017,162711,12.45,4,2,Mobile top-up,4
116018,239833,12.0,13,2,Mobile top-up,13
116019,108287,4.57,5,2,Mobile top-up,5
116020,134344,1.71,1,1,Mobile top-up,1
