,IDENTIFIER,TRX_AMOUNT,TRX_CNT,MERCHANT_CNT,MODE_1,MODE_1_CNT
702,110289,2.14,2,2,Bills,1
713,136863,21.34,2,2,Bills,1
714,104864,22.09,2,2,Bills,1
715,138779,50.55,4,2,Bills,3
716,105911,18.23,2,2,Bills,1
717,114087,25.01,2,2,Bills,1
718,137489,16.11,2,2,Bills,1
719,137970,29.91,3,3,Bills,2
736,103796,18.1,2,2,Bills,1
737,103655,29.84,3,3,Bills,2
738,117560,44.27,3,3,Bills,2
739,116772,19.04,2,2,Bills,1
740,129527,15.57,2,2,Bills,1
741,102707,23.17,2,2,Bills,1
755,101935,13.92,2,2,Bills,1
756,123584,123.32,3,2,Bills,2
772,110043,1.71,2,2,Bills,1
773,111874,19.12,2,2,Bills,1
774,124596,35.21,6,3,Bills,5
775,109026,35.51,3,3,Bills,2
776,106121,7.25,2,2,Bills,1
789,100411,120.5,4,4,Bills,2
790,126347,26.4,2,2,Bills,1
805,143514,51.07,4,3,Bills,2
806,101192,59.95,3,2,Bills,2
807,110967,159.29,2,2,Bills,1
808,142057,46.85,2,2,Bills,1
809,142923,41.33,2,2,Bills,1
825,142035,47.65,5,4,Bills,3
826,121801,19.8,2,2,Bills,1
827,141179,86.31,6,3,Bills,4
828,104967,33.28,6,2,Bills,4
829,109387,13.43,3,3,Bills,2
830,111910,43.02,3,2,Bills,2
831,114951,42.91,4,3,Bills,3
832,117937,36.28,2,2,Bills,1
850,100501,26.05,3,3,Bills,2
851,131698,18.19,2,2,Bills,1
866,116544,19.41,2,2,Bills,1
867,137836,65.76,3,2,Bills,2
868,106124,29.16,5,3,Bills,4
869,108493,23.26,3,2,Bills,2
870,140784,20.06,2,2,Bills,1
883,128939,57.89,3,3,Bills,2
896,133787,42.15,3,3,Bills,2
897,124486,11.31,2,2,Bills,1
898,129876,37.71,2,2,Bills,1
899,123826,26.94,3,2,Bills,2
900,125425,85.89,8,2,Bills,4
901,139034,11.29,8,3,Bills,6
902,113098,52.49,4,2,Bills,3
915,125238,21.49,2,2,Bills,1
916,104324,42.33,3,2,Bills,2
917,141190,18.76,2,2,Bills,1
918,120234,14.84,2,2,Bills,1
919,136796,29.54,3,3,Bills,2
920,141588,52.37,4,3,Bills,3
921,131905,51.44,3,3,Bills,2
946,125531,30.81,2,2,Bills,1
957,104300,12.44,2,2,Bills,1
958,122145,31.3,3,2,Bills,2
959,142476,23.23,2,2,Bills,1
960,124654,50.71,2,2,Bills,1
961,138063,25.49,2,2,Bills,1
970,112151,100.68,5,4,Bills,2
971,140567,79.54,3,3,Bills,1
974,122252,50.82,4,4,Bills,2
975,109684,43.95,5,3,Bills,3
979,316475,75.07,4,3,Bills,2
980,277251,37.73,5,4,Bills,2
984,156016,43.7,3,3,Bills,1
986,241643,30.12,3,3,Bills,1
988,191352,43.78,5,5,Bills,2
990,220717,32.42,4,3,Bills,2
993,113050,39.72,2,2,Bills,1
1007,280209,27.08,2,2,Bills,1
1008,129084,64.97,3,3,Bills,2
1011,238155,41.3,2,2,Bills,1
1012,254581,44.07,2,2,Bills,1
1013,103962,48.2,3,3,Bills,2
1018,258906,28.11,2,2,Bills,1
1024,108686,43.1,2,2,Bills,1
