iter	Passed	Remaining
429	1759	2332
430	1762	2326
431	1765	2321
432	1768	2315
433	1771	2310
434	1773	2304
435	1777	2299
436	1779	2293
437	1782	2287
438	1785	2281
439	1788	2276
440	1790	2269
441	1794	2265
442	1796	2258
443	1799	2253
444	1802	2247
445	1805	2242
446	1807	2236
447	1811	2231
448	1813	2225
449	1816	2220
450	1819	2214
451	1822	2209
452	1825	2203
453	1828	2198
454	1830	2192
455	1833	2187
456	1836	2181
457	1839	2177
458	1842	2171
459	1846	2167
460	1848	2161
461	1851	2156
462	1854	2150
463	1857	2145
464	1859	2139
465	1863	2135
466	1865	2129
467	1868	2124
468	1870	2118
469	1874	2113
470	1876	2107
471	1880	2103
472	1882	2097
473	1884	2091
474	1887	2085
475	1891	2081
476	1893	2076
477	1897	2071
478	1899	2066
479	1902	2061
480	1905	2055
481	1908	2051
482	1911	2045
483	1914	2041
484	1916	2035
485	1920	2030
486	1923	2025
487	1926	2021
488	1929	2016
489	1932	2011
490	1934	2005
491	1938	2001
492	1941	1996
493	1944	1992
494	1947	1986
495	1950	1981
496	1952	1976
497	1956	1972
498	1959	1967
499	1962	1962
500	1964	1957
501	1968	1952
502	1971	1947
503	1974	1943
504	1977	1937
505	1980	1933
506	1982	1928
507	1986	1923
508	1988	1918
509	1992	1914
510	1994	1908
511	1998	1904
512	2000	1898
513	2003	1894
514	2006	1889
515	2009	1885
516	2012	1879
517	2015	1875
518	2018	1870
519	2022	1867
520	2025	1862
521	2029	1858
522	2032	1853
523	2036	1849
524	2038	1844
525	2042	1840
526	2044	1835
527	2048	1831
528	2051	1826
529	2055	1822
530	2057	1817
531	2060	1812
532	2063	1807
533	2068	1804
534	2070	1799
535	2074	1795
536	2077	1791
537	2081	1787
538	2084	1782
539	2088	1778
540	2090	1773
541	2094	1769
542	2097	1764
543	2100	1760
544	2103	1755
545	2106	1751
546	2108	1746
547	2111	1741
548	2114	1737
549	2118	1733
550	2119	1727
551	2122	1722
552	2125	1718
553	2128	1713
554	2131	1709
555	2135	1705
556	2138	1700
557	2141	1696
558	2143	1691
559	2147	1687
560	2149	1682
561	2153	1678
562	2155	1673
563	2158	1668
564	2160	1663
565	2164	1659
566	2168	1655
567	2170	1650
568	2174	1647
569	2177	1642
570	2180	1638
571	2183	1633
572	2186	1629
573	2188	1624
574	2192	1620
575	2195	1615
576	2198	1611
577	2201	1607
578	2204	1602
579	2206	1597
580	2209	1593
